z	mB	err_mB
0.18046	20.13755	0.0111619225
0.26043	21.31275	0.023134410000000005
0.14774	19.8403	0.01046529
0.32753	21.80515	0.019196102500000003
0.24177	21.3452	0.024617610000000005
0.22308	20.93075	0.016409609999999998
0.18261	20.58185	0.01893376
0.15286	20.0024	0.0104960025
0.13806	19.70325	0.0104960025
0.2071	21.03995	0.0345030625
0.20291	20.64165	0.01461681
0.19777	20.49105	0.016641
0.2223	20.9356	0.019376639999999997
0.27307	21.30625	0.021039502500000005
0.18628	20.52515	0.012961822500000001
0.15933	19.83815	0.011109159999999998
0.21911	20.8854	0.01590121
0.17354	20.4812	0.01646089
0.2441	20.96025	0.02099601
0.13366	19.59395	0.010201000000000002
0.28313	21.4441	0.018482402499999998
0.17365	20.3284	0.018851290000000003
0.1963	20.70795	0.01874161
0.36924	22.26255	0.020520562499999995
0.20562	20.5658	0.0146289025
0.17371	20.28215	0.016040222500000003
0.12672	19.526	0.01203409
0.284	21.474	0.0229371025
0.19358	20.5958	0.01852321
0.10036	18.95705	0.012421102499999998
0.37386	22.3047	0.007293160000000001
0.11787	19.35185	0.0129163225
0.1919	20.5315	0.01971216
0.23657	21.01435	0.021315999999999998
0.15881	19.99615	0.01550025
0.07877	18.7576	0.0125552025
0.13847	19.99935	0.0177822225
0.23359	20.88475	0.023623690000000003
0.1567	20.02475	0.023978522499999995
0.08833	18.4809	0.013490822500000001
0.12995	19.79635	0.014798722499999998
0.18223	20.3359	0.0159390625
0.25654	21.13985	0.021918802499999997
0.21651	20.8123	0.018564062500000002
0.14519	19.90865	0.019572009999999997
0.13653	19.58645	0.01221025
0.20493	20.934	0.02458624
0.36939	22.04745	0.02427364
0.12924	19.61205	0.0118265625
0.26658	21.33225	0.021800522500000002
0.27805	21.3866	0.0193627225
0.17461	20.5056	0.01734489
0.11376	19.1271	0.0113955625
0.11229	19.38095	0.01052676
0.15333	19.8424	0.010951622500000001
0.1965	20.7379	0.019168402499999997
0.18914	20.88525	0.0166023225
0.17708	20.47675	0.01620529
0.21731	20.7809	0.0194463025
0.18542	20.33785	0.01646089
0.16382	20.0237	0.014196722500000002
0.2569	21.34695	0.027939122499999997
0.1218	19.58065	0.018076802499999996
0.16514	20.09405	0.0113742225
0.1984	20.6407	0.01734489
0.26828	21.39935	0.026455022499999998
0.40078	22.165	0.01817104
0.14566	19.6731	0.0162690025
0.05573	17.56165	0.0119137225
0.22425	21.16495	0.0235469025
0.28622	21.42305	0.024289222499999995
